user_id,minutes_viewed,ml_ouput
25769804260,246,
25769804262,65,
25769804263,290,
25769804265,3,
25769804266,1075,
25769804268,18,
25769804269,309,
25769804271,0,
25769804273,119,
25769804274,0,
25769804277,199,
25769804278,93,
25769804279,0,
25769804280,5,
25769804281,124,
25769804282,4,
25769804284,1,
25769804285,0,
25769804286,1916,
25769804288,7,
25769804289,6,
25769804290,15,
25769804291,178,
25769804292,0,
25769804293,42,
25769804294,2,
25769804295,12,
25769804297,1,
25769804298,0,
25769804299,0,
25769804301,3,
25769804302,0,
25769804304,179,
25769804305,0,
25769804306,28,
25769804307,0,
25769804308,40,
25769804310,229,
25769804312,125,
25769804313,46,
25769804314,77,
25769804315,109,
25769804316,0,
25769804317,19,
34359738368,2294,
34359738370,10,
34359738371,45,
34359738373,227,
34359738374,198,
34359738375,252,
34359738376,259,
34359738377,0,
34359738378,55,
34359738379,137,
34359738380,7,
34359738381,590,
34359738384,0,
34359738385,363,
34359738386,105,
34359738387,22,
34359738388,157,
34359738391,188,
34359738392,427,
34359738394,11,
34359738395,21,
34359738396,1,
34359738397,27,
34359738399,0,
34359738403,4,
34359738404,15,
34359738405,0,
34359738406,3,
34359738407,15,
34359738408,3,
34359738409,3,
34359738410,164,
34359738411,5,
34359738414,2,
34359738415,0,
34359738418,19,
34359738420,111,
34359738421,54,
34359738422,339,
34359738423,1519,
34359738424,4,
34359738425,1478,
34359738427,143,
34359738428,12,
34359738431,1091,
34359738432,314,
34359738434,8,
34359738435,396,
34359738436,141,
34359738437,0,
34359738438,132,
34359738439,1,
34359738441,0,
34359738442,383,
34359738444,1,
34359738445,55,
34359738447,0,
34359738448,605,
34359738449,43,
34359738451,19,
34359738452,0,
34359738453,0,
34359738455,175,
34359738456,2,
